ampl wV fracEsq wz_sq w_min w_plus
0.100000 0.200000 1.000000 0.000131 0.000027 2.407778
0.100000 0.220000 1.000000 0.000108 0.000023 2.407782
0.100000 0.240000 1.000000 0.000130 0.000027 2.407778
0.100000 0.260000 1.000000 0.000116 0.000024 2.407781
0.100000 0.280000 1.000000 0.000118 0.000025 2.407780
0.100000 0.300000 1.000000 0.000129 0.000027 2.407778
0.100000 0.320000 1.000000 0.000109 0.000023 2.407782
0.100000 0.340000 0.990000 0.000132 0.000027 2.407777
0.100000 0.360000 0.990000 0.000113 0.000024 2.407781
0.100000 0.380000 0.980000 0.000121 0.000025 2.407780
0.100000 0.400000 0.970000 0.000126 0.000026 2.407779
0.100000 0.420000 0.930000 0.000110 0.000023 2.407782
0.100000 0.440000 0.600000 0.000132 0.000027 2.407777
0.100000 0.460000 1.000000 0.000111 0.000023 2.407782
0.100000 0.480000 1.000000 0.000124 0.000026 2.407779
0.100000 0.500000 1.000000 0.000123 0.000026 2.407779
0.100000 0.520000 1.000000 0.000112 0.000023 2.407782
0.100000 0.540000 1.000000 0.000132 0.000027 2.407777
0.100000 0.560000 1.000000 0.000109 0.000023 2.407782
0.100000 0.580000 1.000000 0.000127 0.000026 2.407778
0.100000 0.600000 1.000000 0.000120 0.000025 2.407780
0.100000 0.620000 1.000000 0.000114 0.000024 2.407781
0.100000 0.640000 1.000000 0.000131 0.000027 2.407778
0.100000 0.660000 1.000000 0.000108 0.000023 2.407782
0.100000 0.680000 1.000000 0.000130 0.000027 2.407778
0.100000 0.700000 1.000000 0.000117 0.000024 2.407780
0.100000 0.720000 1.000000 0.000117 0.000024 2.407780
0.100000 0.740000 1.000000 0.000130 0.000027 2.407778
0.100000 0.760000 1.000000 0.000108 0.000023 2.407782
0.100000 0.780000 1.000000 0.000131 0.000027 2.407778
0.100000 0.800000 1.000000 0.000114 0.000024 2.407781
0.100000 0.820000 1.000000 0.000120 0.000025 2.407780
0.100000 0.840000 1.000000 0.000127 0.000026 2.407778
0.100000 0.860000 1.000000 0.000109 0.000023 2.407782
0.100000 0.880000 1.000000 0.000132 0.000027 2.407777
0.100000 0.900000 1.000000 0.000112 0.000023 2.407782
0.100000 0.920000 1.000000 0.000123 0.000026 2.407779
0.100000 0.940000 1.000000 0.000124 0.000026 2.407779
0.100000 0.960000 1.000000 0.000111 0.000023 2.407782
0.100000 0.980000 1.000000 0.000132 0.000027 2.407777
0.100000 1.000000 1.000000 0.000110 0.000023 2.407782
0.100000 1.020000 1.000000 0.000126 0.000026 2.407779
0.100000 1.040000 1.000000 0.000121 0.000025 2.407780
0.100000 1.060000 1.000000 0.000113 0.000024 2.407781
0.100000 1.080000 1.000000 0.000132 0.000027 2.407777
0.100000 1.100000 1.000000 0.000109 0.000023 2.407782
0.100000 1.120000 1.000000 0.000129 0.000027 2.407778
0.100000 1.140000 1.000000 0.000118 0.000025 2.407780
0.100000 1.160000 1.000000 0.000116 0.000024 2.407781
0.100000 1.180000 1.000000 0.000130 0.000027 2.407778
0.100000 1.200000 1.000000 0.000108 0.000023 2.407782
0.100000 1.220000 1.000000 0.000131 0.000027 2.407778
0.100000 1.240000 1.000000 0.000115 0.000024 2.407781
0.100000 1.260000 1.000000 0.000119 0.000025 2.407780
