e_rnd,avg_e_rnd,m_rnd,avg_m_rnd,e_low,avg_e_low,m_low,avg_m_low,e_hig,avg_e_hig,m_hig,avg_m_hig
-4.2625000000000002e-01,-4.2625000000000002e-01,1.3901249999999998e-01,1.3901249999999998e-01,-2.0000000000000000e+00,-2.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,2.0117499999999999e-01,2.0117499999999999e-01,3.3062500000000002e-02,3.3062500000000002e-02
-8.7907499999999994e-01,-6.5266249999999992e-01,2.0417500000000000e-01,1.7159374999999999e-01,-2.0000000000000000e+00,-2.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,-7.8432500000000005e-01,-2.9157500000000003e-01,1.4627499999999999e-01,8.9668749999999992e-02
-1.1089249999999999e+00,-8.0474999999999997e-01,2.6263750000000002e-01,2.0194166666666669e-01,-1.9896500000000001e+00,-1.9965500000000000e+00,9.9741249999999992e-01,9.9913749999999990e-01,-1.0170500000000000e+00,-5.3339999999999999e-01,1.2507499999999999e-01,1.0147083333333333e-01
-1.2404250000000001e+00,-9.1366875000000003e-01,3.0145000000000000e-01,2.2681875000000001e-01,-2.0000000000000000e+00,-1.9974125000000000e+00,1.0000000000000000e+00,9.9935312499999995e-01,-1.2651000000000001e+00,-7.1632500000000010e-01,1.3727499999999998e-01,1.1042187499999999e-01
-1.3490000000000000e+00,-1.0007350000000002e+00,3.6936250000000004e-01,2.5532750000000004e-01,-2.0000000000000000e+00,-1.9979300000000002e+00,1.0000000000000000e+00,9.9948249999999983e-01,-1.3952750000000000e+00,-8.5211500000000007e-01,1.5153749999999999e-01,1.1864499999999997e-01
-1.4513250000000000e+00,-1.0758333333333334e+00,3.8278750000000000e-01,2.7657083333333338e-01,-2.0000000000000000e+00,-1.9982750000000002e+00,1.0000000000000000e+00,9.9956874999999989e-01,-1.4906500000000000e+00,-9.5853749999999993e-01,1.2251250000000001e-01,1.1928958333333332e-01
-1.4959249999999999e+00,-1.1358464285714285e+00,3.9656249999999998e-01,2.9371249999999999e-01,-2.0000000000000000e+00,-1.9985214285714288e+00,1.0000000000000000e+00,9.9963035714285708e-01,-1.5400000000000000e+00,-1.0416035714285714e+00,7.0750000000000007e-02,1.1235535714285713e-01
-1.5245500000000001e+00,-1.1844343749999999e+00,4.3118750000000000e-01,3.1089687500000002e-01,-2.0000000000000000e+00,-1.9987062500000001e+00,1.0000000000000000e+00,9.9967656249999992e-01,-1.5603499999999999e+00,-1.1064468750000001e+00,7.0025000000000004e-02,1.0706406249999999e-01
-1.5805250000000002e+00,-1.2284444444444444e+00,4.9556249999999996e-01,3.3141527777777779e-01,-2.0000000000000000e+00,-1.9988500000000000e+00,1.0000000000000000e+00,9.9971249999999989e-01,-1.5975999999999999e+00,-1.1610194444444444e+00,7.0949999999999999e-02,1.0305138888888887e-01
-1.6305500000000002e+00,-1.2686550000000001e+00,5.0538749999999999e-01,3.4881250000000003e-01,-2.0000000000000000e+00,-1.9989650000000001e+00,1.0000000000000000e+00,9.9974124999999991e-01,-1.6356999999999999e+00,-1.2084874999999999e+00,8.4499999999999992e-02,1.0119624999999999e-01
-1.6656500000000001e+00,-1.3047454545454544e+00,5.3391250000000001e-01,3.6563977272727272e-01,-1.9885499999999998e+00,-1.9980181818181819e+00,9.9713750000000001e-01,9.9950454545454548e-01,-1.6491499999999999e+00,-1.2485477272727274e+00,8.9324999999999988e-02,1.0011704545454543e-01
-1.6767250000000002e+00,-1.3357437499999998e+00,5.5071249999999994e-01,3.8106249999999992e-01,-1.9800000000000000e+00,-1.9965166666666667e+00,9.9500000000000000e-01,9.9912916666666662e-01,-1.6443000000000001e+00,-1.2815270833333334e+00,1.0632500000000000e-01,1.0063437499999998e-01
-1.6827250000000000e+00,-1.3624346153846152e+00,6.2317500000000003e-01,3.9968653846153840e-01,-1.9800000000000000e+00,-1.9952461538461539e+00,9.9500000000000000e-01,9.9881153846153836e-01,-1.6499999999999999e+00,-1.3098711538461538e+00,8.8100000000000012e-02,9.9670192307692293e-02
-1.7163999999999999e+00,-1.3877178571428570e+00,6.3498750000000004e-01,4.1649374999999994e-01,-1.9800000000000000e+00,-1.9941571428571430e+00,9.9500000000000000e-01,9.9853928571428552e-01,-1.6425500000000000e+00,-1.3336339285714285e+00,9.8699999999999996e-02,9.9600892857142839e-02
-1.7399750000000000e+00,-1.4112016666666667e+00,6.4405000000000001e-01,4.3166416666666663e-01,-1.9999500000000001e+00,-1.9945433333333336e+00,9.9998750000000003e-01,9.9863583333333317e-01,-1.6781999999999999e+00,-1.3566049999999998e+00,1.0215000000000000e-01,9.9770833333333322e-02
-1.7285249999999999e+00,-1.4310343750000001e+00,6.3213750000000002e-01,4.4419374999999994e-01,-2.0000000000000000e+00,-1.9948843750000003e+00,1.0000000000000000e+00,9.9872109374999984e-01,-1.6958500000000001e+00,-1.3778078125000000e+00,6.3299999999999995e-02,9.7491406249999982e-02
-1.7392750000000001e+00,-1.4491661764705883e+00,6.2768749999999995e-01,4.5498749999999999e-01,-2.0000000000000000e+00,-1.9951852941176473e+00,1.0000000000000000e+00,9.9879632352941172e-01,-1.7088500000000000e+00,-1.3972808823529410e+00,7.9962499999999992e-02,9.6460294117647033e-02
-1.7415499999999999e+00,-1.4654097222222222e+00,6.5313750000000004e-01,4.6599583333333328e-01,-2.0000000000000000e+00,-1.9954527777777780e+00,1.0000000000000000e+00,9.9886319444444438e-01,-1.7087749999999999e+00,-1.4145861111111109e+00,9.1937499999999991e-02,9.6209027777777761e-02
