e_rnd,avg_e_rnd,m_rnd,avg_m_rnd,e_low,avg_e_low,m_low,avg_m_low,e_hig,avg_e_hig,m_hig,avg_m_hig
-4.3939999999999996e-01,-4.3939999999999996e-01,2.2387500000000001e-02,2.2387500000000001e-02,-1.9741499999999998e+00,-1.9741499999999998e+00,9.9309999999999998e-01,9.9309999999999998e-01,2.2699999999999998e-01,2.2699999999999998e-01,2.9999999999999999e-02,2.9999999999999999e-02
-7.3640000000000005e-01,-5.8789999999999998e-01,7.1550000000000002e-02,4.6968750000000004e-02,-1.9143749999999999e+00,-1.9442624999999998e+00,9.7696250000000007e-01,9.8503125000000002e-01,-6.5229999999999999e-01,-2.1265000000000001e-01,1.2971250000000001e-01,7.9856250000000004e-02
-8.4747499999999998e-01,-6.7442499999999994e-01,6.7549999999999999e-02,5.3829166666666671e-02,-1.8059749999999999e+00,-1.8981666666666666e+00,9.4548750000000004e-01,9.7184999999999999e-01,-9.1282500000000000e-01,-4.4604166666666667e-01,4.5112500000000007e-02,6.8275000000000002e-02
-9.7937500000000000e-01,-7.5066250000000001e-01,1.3070000000000001e-01,7.3046875000000011e-02,-1.8518000000000001e+00,-1.8865749999999999e+00,9.5471249999999996e-01,9.6756562499999998e-01,-1.0654250000000001e+00,-6.0088750000000002e-01,3.7137500000000004e-02,6.0490625000000006e-02
-1.1344750000000001e+00,-8.2742500000000008e-01,2.6418750000000002e-01,1.1127500000000001e-01,-1.8459000000000001e+00,-1.8784399999999999e+00,9.5719999999999994e-01,9.6549250000000009e-01,-1.1538500000000000e+00,-7.1148000000000011e-01,8.9275000000000007e-02,6.6247500000000001e-02
-1.1853000000000000e+00,-8.8707083333333336e-01,2.6885000000000003e-01,1.3753750000000001e-01,-1.9093750000000000e+00,-1.8835958333333334e+00,9.7553749999999995e-01,9.6716666666666662e-01,-1.2045000000000001e+00,-7.9365000000000008e-01,1.8546250000000000e-01,8.6116666666666675e-02
-1.2119249999999999e+00,-9.3347857142857138e-01,3.0769999999999997e-01,1.6184642857142859e-01,-1.8115000000000001e+00,-1.8732964285714286e+00,9.4882499999999992e-01,9.6454642857142858e-01,-1.1494750000000000e+00,-8.4448214285714296e-01,1.9450000000000001e-01,1.0160000000000001e-01
-1.2761499999999999e+00,-9.7631249999999992e-01,3.1517499999999998e-01,1.8101250000000002e-01,-1.7939500000000002e+00,-1.8633781250000001e+00,9.4221250000000001e-01,9.6175468750000004e-01,-1.1451249999999999e+00,-8.8206250000000008e-01,2.2664999999999999e-01,1.1723125000000001e-01
-1.2727999999999999e+00,-1.0092555555555556e+00,3.2888750000000000e-01,1.9744305555555558e-01,-1.7824000000000000e+00,-1.8543805555555555e+00,9.2756249999999996e-01,9.5795555555555567e-01,-1.2396250000000000e+00,-9.2179166666666668e-01,1.9153750000000000e-01,1.2548750000000000e-01
-1.2590999999999999e+00,-1.0342400000000000e+00,3.4340000000000004e-01,2.1203875000000000e-01,-1.6985249999999998e+00,-1.8387950000000000e+00,9.0131249999999996e-01,9.5229125000000003e-01,-1.2983250000000002e+00,-9.5944499999999999e-01,1.2859999999999999e-01,1.2579875000000001e-01
-1.3198500000000002e+00,-1.0602045454545457e+00,4.4686250000000000e-01,2.3338636363636364e-01,-1.6686250000000000e+00,-1.8233249999999999e+00,8.8672499999999999e-01,9.4633068181818192e-01,-1.2803249999999999e+00,-9.8861590909090902e-01,9.7575000000000009e-02,1.2323295454545455e-01
-1.3511250000000001e+00,-1.0844479166666667e+00,5.0226250000000006e-01,2.5579270833333334e-01,-1.6913749999999999e+00,-1.8123291666666665e+00,8.8784999999999992e-01,9.4145729166666670e-01,-1.3504250000000000e+00,-1.0187666666666666e+00,1.3982500000000000e-01,1.2461562500000001e-01
-1.3435750000000000e+00,-1.1043807692307692e+00,4.9392500000000000e-01,2.7411057692307694e-01,-1.7431999999999999e+00,-1.8070115384615382e+00,9.1703749999999995e-01,9.3957884615384613e-01,-1.3596250000000001e+00,-1.0449865384615384e+00,1.7922500000000000e-01,1.2881634615384616e-01
-1.3346250000000000e+00,-1.1208267857142857e+00,4.6310000000000001e-01,2.8760982142857144e-01,-1.7827999999999999e+00,-1.8052821428571428e+00,9.3400000000000005e-01,9.3918035714285708e-01,-1.3505000000000000e+00,-1.0668089285714286e+00,2.7641250000000001e-01,1.3935892857142856e-01
-1.3570500000000001e+00,-1.1365750000000001e+00,4.4626250000000001e-01,2.9818666666666666e-01,-1.7949999999999999e+00,-1.8045966666666666e+00,9.4493750000000010e-01,9.3956416666666664e-01,-1.3934000000000000e+00,-1.0885816666666668e+00,2.8792499999999999e-01,1.4926333333333333e-01
-1.4615750000000001e+00,-1.1568875000000001e+00,5.3688749999999996e-01,3.1310546874999995e-01,-1.7534000000000001e+00,-1.8013968750000000e+00,9.3532499999999996e-01,9.3929921875000000e-01,-1.4250499999999999e+00,-1.1096109375000001e+00,3.1595000000000001e-01,1.5968125000000000e-01
-1.4801750000000000e+00,-1.1759044117647059e+00,5.8879999999999999e-01,3.2932279411764703e-01,-1.6989750000000001e+00,-1.7953720588235296e+00,9.0301250000000000e-01,9.3716470588235290e-01,-1.4072000000000000e+00,-1.1271161764705884e+00,2.9568749999999999e-01,1.6768161764705883e-01
-1.4480250000000001e+00,-1.1910222222222222e+00,6.3453749999999998e-01,3.4627916666666664e-01,-1.6478999999999999e+00,-1.7871791666666670e+00,8.9724999999999999e-01,9.3494722222222215e-01,-1.3547499999999999e+00,-1.1397625000000000e+00,3.7522500000000003e-01,1.7921180555555555e-01
-1.4943500000000001e+00,-1.2069868421052632e+00,6.4011250000000008e-01,3.6174407894736837e-01,-1.7046500000000000e+00,-1.7828355263157898e+00,9.0118750000000003e-01,9.3317039473684193e-01,-1.3744999999999998e+00,-1.1521171052631580e+00,3.8435000000000002e-01,1.9000855263157895e-01
-1.4638499999999999e+00,-1.2198300000000002e+00,6.3762500000000000e-01,3.7553812499999994e-01,-1.6522999999999999e+00,-1.7763087500000001e+00,8.5953749999999995e-01,9.2948874999999975e-01,-1.3096749999999999e+00,-1.1599949999999999e+00,4.0146250000000000e-01,2.0058124999999999e-01
-1.5240000000000000e+00,-1.2343142857142859e+00,6.8931250000000011e-01,3.9047976190476180e-01,-1.7206000000000001e+00,-1.7736559523809523e+00,8.6829999999999996e-01,9.2657499999999993e-01,-1.4303500000000000e+00,-1.1728690476190475e+00,4.6488750000000001e-01,2.1316726190476187e-01
-1.5011750000000001e+00,-1.2464443181818183e+00,6.9237499999999996e-01,4.0420227272727266e-01,-1.6908500000000002e+00,-1.7698920454545453e+00,8.7802499999999994e-01,9.2436818181818170e-01,-1.4825500000000000e+00,-1.1869454545454543e+00,4.7420000000000001e-01,2.2503238636363632e-01
-1.4989500000000000e+00,-1.2574228260869567e+00,6.6901250000000001e-01,4.1571576086956513e-01,-1.6580500000000000e+00,-1.7650293478260870e+00,8.8341250000000004e-01,9.2258749999999989e-01,-1.4800000000000000e+00,-1.1996869565217387e+00,5.3100000000000003e-01,2.3833532608695646e-01
-1.5534749999999999e+00,-1.2697583333333335e+00,6.6618750000000004e-01,4.2615208333333321e-01,-1.6757000000000000e+00,-1.7613072916666666e+00,8.8142500000000001e-01,9.2087239583333325e-01,-1.4427000000000001e+00,-1.2098124999999995e+00,5.3638750000000002e-01,2.5075416666666661e-01
-1.5368250000000001e+00,-1.2804410000000002e+00,6.9876249999999995e-01,4.3705649999999990e-01,-1.6543250000000000e+00,-1.7570280000000000e+00,8.6828749999999999e-01,9.1876899999999995e-01,-1.3719250000000001e+00,-1.2162969999999995e+00,5.3616249999999999e-01,2.6217049999999992e-01
-1.6278999999999999e+00,-1.2938048076923077e+00,7.3757499999999998e-01,4.4861490384615377e-01,-1.7022750000000000e+00,-1.7549221153846153e+00,8.6722499999999991e-01,9.1678653846153846e-01,-1.4368000000000001e+00,-1.2247778846153843e+00,5.6899999999999995e-01,2.7397163461538454e-01
-1.6158500000000000e+00,-1.3057324074074075e+00,7.4203750000000002e-01,4.5948240740740731e-01,-1.6969250000000000e+00,-1.7527740740740740e+00,8.7777500000000008e-01,9.1534166666666661e-01,-1.4386750000000001e+00,-1.2326999999999997e+00,5.7901249999999993e-01,2.8526944444444441e-01
-1.6111000000000002e+00,-1.3166383928571430e+00,7.5424999999999998e-01,4.7000982142857139e-01,-1.7042750000000000e+00,-1.7510419642857145e+00,8.9148750000000010e-01,9.1448973214285711e-01,-1.4696750000000001e+00,-1.2411633928571426e+00,6.0933750000000009e-01,2.9684330357142852e-01
-1.6421749999999999e+00,-1.3278637931034485e+00,7.5472499999999998e-01,4.7982758620689653e-01,-1.7359750000000000e+00,-1.7505224137931037e+00,8.9674999999999994e-01,9.1387801724137929e-01,-1.4761250000000001e+00,-1.2492655172413791e+00,6.1027500000000001e-01,3.0765129310344824e-01
-1.5813750000000000e+00,-1.3363141666666669e+00,7.4536249999999993e-01,4.8867875000000000e-01,-1.7223500000000000e+00,-1.7495833333333335e+00,9.0722499999999995e-01,9.1365625000000006e-01,-1.5597250000000000e+00,-1.2596141666666665e+00,6.1065000000000003e-01,3.1775124999999993e-01
-1.5950000000000000e+00,-1.3446588709677421e+00,7.2796249999999996e-01,4.9639758064516132e-01,-1.7852000000000001e+00,-1.7507322580645164e+00,9.2805000000000004e-01,9.1412056451612900e-01,-1.6163999999999998e+00,-1.2711233870967740e+00,6.0723749999999999e-01,3.2708951612903220e-01
-1.5885250000000000e+00,-1.3522796875000000e+00,6.9484999999999997e-01,5.0259921875000002e-01,-1.8012500000000000e+00,-1.7523109375000003e+00,9.2692500000000000e-01,9.1452070312500000e-01,-1.6238999999999999e+00,-1.2821476562499998e+00,5.8355000000000001e-01,3.3510390624999997e-01
-1.6306000000000000e+00,-1.3607136363636365e+00,6.9223749999999995e-01,5.0834583333333339e-01,-1.8536000000000001e+00,-1.7553803030303035e+00,9.4625000000000004e-01,9.1548219696969690e-01,-1.6609250000000000e+00,-1.2936257575757573e+00,6.1862499999999998e-01,3.4369545454545453e-01
-1.5340750000000001e+00,-1.3658125000000001e+00,6.6606250000000000e-01,5.1298455882352945e-01,-1.8056500000000000e+00,-1.7568588235294120e+00,9.3848749999999992e-01,9.1615882352941180e-01,-1.5765750000000001e+00,-1.3019477941176465e+00,6.3976250000000001e-01,3.5240330882352938e-01
-1.5092250000000000e+00,-1.3699100000000002e+00,6.4753749999999999e-01,5.1682892857142859e-01,-1.7285750000000000e+00,-1.7560507142857145e+00,9.1763749999999999e-01,9.1620107142857132e-01,-1.5070249999999998e+00,-1.3078071428571423e+00,6.4116249999999997e-01,3.6065357142857141e-01
-1.4384250000000001e+00,-1.3718131944444447e+00,6.2663749999999996e-01,5.1987916666666667e-01,-1.6797000000000000e+00,-1.7539298611111112e+00,9.0099999999999991e-01,9.1577881944444450e-01,-1.4708250000000000e+00,-1.3123354166666661e+00,5.7343750000000004e-01,3.6656423611111111e-01
-1.5450500000000000e+00,-1.3764952702702706e+00,6.7912499999999998e-01,5.2418310810810809e-01,-1.7313000000000001e+00,-1.7533182432432433e+00,9.1390000000000005e-01,9.1572804054054058e-01,-1.5395249999999998e+00,-1.3184756756756750e+00,5.4798749999999996e-01,3.7146756756756755e-01
-1.5758000000000001e+00,-1.3817401315789477e+00,7.0773750000000002e-01,5.2901348684210525e-01,-1.7053749999999999e+00,-1.7520565789473685e+00,9.1700000000000004e-01,9.1576151315789478e-01,-1.5019999999999998e+00,-1.3233052631578943e+00,5.5873750000000000e-01,3.7639572368421048e-01
-1.6408750000000001e+00,-1.3883846153846158e+00,7.4090000000000000e-01,5.3444647435897430e-01,-1.8041499999999999e+00,-1.7533923076923081e+00,9.4776250000000006e-01,9.1658205128205139e-01,-1.5745250000000000e+00,-1.3297467948717945e+00,6.1132500000000001e-01,3.8241955128205124e-01
-1.6254249999999999e+00,-1.3943106250000004e+00,7.5283749999999994e-01,5.3990624999999992e-01,-1.8200749999999999e+00,-1.7550593750000005e+00,9.4798749999999998e-01,9.1736718750000001e-01,-1.5837500000000000e+00,-1.3360968749999995e+00,6.1397500000000005e-01,3.8820843749999995e-01
-1.6131249999999999e+00,-1.3996475609756100e+00,7.6186250000000000e-01,5.4531981707317068e-01,-1.8256500000000000e+00,-1.7567810975609759e+00,9.4803749999999998e-01,9.1811524390243904e-01,-1.6079249999999998e+00,-1.3427268292682921e+00,6.1945000000000006e-01,3.9384847560975600e-01
-1.6112750000000000e+00,-1.4046863095238098e+00,7.5637500000000002e-01,5.5034494047619043e-01,-1.8215500000000000e+00,-1.7583232142857146e+00,9.4721250000000001e-01,9.1880803571428571e-01,-1.5871500000000001e+00,-1.3485464285714281e+00,6.4044999999999996e-01,3.9971994047619042e-01
-1.5949500000000001e+00,-1.4091110465116281e+00,7.5953749999999998e-01,5.5520988372093028e-01,-1.7903499999999999e+00,-1.7590680232558145e+00,9.3736249999999999e-01,9.1923953488372090e-01,-1.5730000000000002e+00,-1.3537662790697669e+00,6.7232500000000006e-01,4.0605959302325578e-01
-1.6584000000000001e+00,-1.4147767045454547e+00,7.8837500000000005e-01,5.6050909090909096e-01,-1.8710249999999999e+00,-1.7616125000000005e+00,9.6184999999999998e-01,9.2020795454545445e-01,-1.6934250000000000e+00,-1.3614857954545447e+00,7.5772499999999998e-01,4.1405198863636361e-01
-1.6132000000000000e+00,-1.4191861111111113e+00,7.5391249999999999e-01,5.6480694444444446e-01,-1.8210749999999998e+00,-1.7629338888888892e+00,9.4787499999999991e-01,9.2082277777777777e-01,-1.6438999999999999e+00,-1.3677616666666661e+00,7.9385000000000006e-01,4.2249194444444438e-01
-1.7050500000000000e+00,-1.4254005434782611e+00,7.5513750000000002e-01,5.6894456521739134e-01,-1.8550249999999999e+00,-1.7649358695652178e+00,9.6262500000000006e-01,9.2173152173913042e-01,-1.6402000000000001e+00,-1.3736842391304342e+00,8.3236250000000001e-01,4.3140217391304342e-01
-1.6338750000000000e+00,-1.4298361702127662e+00,7.5778750000000006e-01,5.7296249999999993e-01,-1.7855250000000000e+00,-1.7653739361702132e+00,9.3932500000000008e-01,9.2210585106382970e-01,-1.6188999999999998e+00,-1.3789015957446802e+00,8.3882499999999993e-01,4.4007074468085100e-01
-1.5655500000000000e+00,-1.4326635416666669e+00,7.2581249999999997e-01,5.7614687499999995e-01,-1.7033000000000000e+00,-1.7640807291666671e+00,8.9798749999999994e-01,9.2160338541666664e-01,-1.5705750000000001e+00,-1.3828947916666661e+00,7.8312499999999996e-01,4.4721770833333324e-01
