e_avg,prob
-2.0000000000000000e+00,8.1901650000000004e-01
-1.9900000000000000e+00,0.0000000000000000e+00
-1.9800000000000000e+00,1.1206475000000000e-01
-1.9700000000000000e+00,4.0492499999999999e-03
-1.9600000000000000e+00,7.5367500000000000e-03
-1.9500000000000000e+00,6.4274999999999998e-04
-1.9399999999999999e+00,6.0150000000000004e-04
-1.9299999999999999e+00,1.2999999999999999e-05
-1.9199999999999999e+00,1.2700000000000000e-04
-1.9099999999999999e+00,8.1749999999999995e-05
-1.8999999999999999e+00,1.5349999999999999e-04
-1.8899999999999999e+00,6.0999999999999999e-05
-1.8799999999999999e+00,7.5250000000000000e-05
-1.8700000000000001e+00,1.6075000000000000e-04
-1.8600000000000001e+00,1.6750000000000001e-05
-1.8500000000000001e+00,1.2899999999999999e-04
-1.8400000000000001e+00,1.4950000000000000e-04
-1.8300000000000001e+00,3.0449999999999997e-04
-1.8200000000000001e+00,2.5274999999999999e-04
-1.8100000000000001e+00,1.9275000000000000e-04
-1.8000000000000000e+00,1.7175000000000000e-04
-1.7900000000000000e+00,1.1647500000000000e-03
-1.7800000000000000e+00,3.1024999999999998e-03
-1.7700000000000000e+00,7.4425000000000003e-03
-1.7600000000000000e+00,1.0067750000000000e-02
-1.7500000000000000e+00,9.1109999999999993e-03
-1.7400000000000000e+00,9.4812500000000001e-03
-1.7300000000000000e+00,7.0427500000000004e-03
-1.7200000000000000e+00,3.1637499999999999e-03
-1.7100000000000000e+00,1.1142500000000000e-03
-1.7000000000000000e+00,4.7524999999999998e-04
-1.6899999999999999e+00,4.8775000000000001e-04
-1.6799999999999999e+00,2.5549999999999998e-04
-1.6699999999999999e+00,8.0000000000000007e-05
-1.6599999999999999e+00,3.3500000000000001e-05
-1.6499999999999999e+00,1.7499999999999998e-05
-1.6399999999999999e+00,4.1749999999999998e-05
-1.6299999999999999e+00,8.8499999999999996e-05
-1.6200000000000001e+00,3.8000000000000002e-05
-1.6100000000000001e+00,3.4749999999999998e-05
-1.6000000000000001e+00,4.1499999999999999e-05
-1.5900000000000001e+00,1.0000000000000001e-05
-1.5800000000000001e+00,6.7500000000000001e-05
-1.5700000000000001e+00,0.0000000000000000e+00
-1.5600000000000001e+00,1.2500000000000001e-06
-1.5500000000000000e+00,3.9499999999999998e-05
-1.5400000000000000e+00,1.5999999999999999e-05
-1.5300000000000000e+00,3.4499999999999998e-05
-1.5200000000000000e+00,1.7249999999999999e-05
-1.5100000000000000e+00,9.9999999999999995e-07
-1.5000000000000000e+00,0.0000000000000000e+00
-1.4900000000000000e+00,6.4999999999999996e-06
-1.4800000000000000e+00,5.4999999999999999e-06
-1.4700000000000000e+00,7.7500000000000003e-06
-1.4600000000000000e+00,1.9500000000000000e-05
-1.4500000000000000e+00,1.4500000000000000e-05
-1.4399999999999999e+00,3.7249999999999997e-05
-1.4299999999999999e+00,8.7499999999999992e-06
-1.4199999999999999e+00,1.7499999999999998e-05
-1.4099999999999999e+00,1.1275000000000000e-04
-1.3999999999999999e+00,4.3999999999999999e-05
-1.3899999999999999e+00,3.4000000000000000e-05
-1.3799999999999999e+00,2.2500000000000001e-06
-1.3700000000000001e+00,2.7499999999999999e-06
-1.3600000000000001e+00,5.4999999999999999e-06
-1.3500000000000001e+00,7.2500000000000000e-06
-1.3400000000000001e+00,7.5000000000000002e-07
-1.3300000000000001e+00,2.1999999999999999e-05
-1.3200000000000001e+00,2.3499999999999999e-05
-1.3100000000000001e+00,0.0000000000000000e+00
-1.3000000000000000e+00,3.4999999999999999e-06
-1.2900000000000000e+00,9.9999999999999995e-07
-1.2800000000000000e+00,0.0000000000000000e+00
-1.2700000000000000e+00,7.5000000000000002e-06
