L = 40 MC cycles = 10000 Repetitions = 100
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.1000000000000001e+00,-1.6563036778251174e+00,8.5314002574100556e-01,1.1711924086229879e+00,7.2981887863048200e+00,5.3396525726900359e-04,2.1570027695947268e-03,2.7724560935006325e-02,1.0054753111281249e+00
2.1157894736842104e+00,-1.6402924038020898e+00,8.4106654291350691e-01,1.2572800556792509e+00,8.7119016902812287e+00,7.2561758960204494e-04,2.9133633899315588e-03,3.4297862919040717e-02,1.2385720189101221e+00
2.1315789473684212e+00,-1.6220693151941241e+00,8.2846192002209507e-01,1.3309204311803127e+00,8.0936344557284681e+00,5.0350744949318978e-04,1.9874611204427021e-03,2.7542048831034845e-02,9.2879393733552185e-01
2.1473684210526316e+00,-1.6074691441461493e+00,8.2311770422348640e-01,1.4001452962157106e+00,7.6298957447335098e+00,4.3821081928335938e-04,1.7339590936693680e-03,2.2445522205186565e-02,7.8869325508079480e-01
2.1631578947368419e+00,-1.5900518560921659e+00,8.1099062770122943e-01,1.4198163666193535e+00,8.1511700977445223e+00,5.0222731612775966e-04,1.9885796480355240e-03,2.5638231219649511e-02,8.8515316124500054e-01
2.1789473684210527e+00,-1.5669466909659153e+00,7.8954145816208776e-01,1.4841610262129370e+00,9.3690470611836858e+00,5.3731925779965507e-04,2.1023340947171282e-03,2.5147829052212144e-02,8.8052576630560020e-01
2.1947368421052631e+00,-1.5436987257181169e+00,7.6166795279198007e-01,1.7641283800881007e+00,1.2751516473749801e+01,3.7334983722197640e-04,1.5060661218513373e-03,1.5800924008088600e-02,6.5452870779977279e-01
2.2105263157894739e+00,-1.5283007424921076e+00,7.5790726981613010e-01,1.5925964001053712e+00,9.7607861555746176e+00,4.3879552605874118e-04,1.7414816475137586e-03,1.8304379405749471e-02,7.0106838072130673e-01
2.2263157894736842e+00,-1.5084275275852226e+00,7.4440695368765664e-01,1.6495182569913960e+00,1.0160611073152046e+01,5.9474703710011331e-04,2.4390646321869182e-03,2.2224041887772491e-02,9.2479400980475435e-01
2.2421052631578946e+00,-1.4771340320659718e+00,7.0423424488241726e-01,1.7527884171961836e+00,1.2414412175354725e+01,3.2519992543812032e-04,1.5393692040404068e-03,1.3887415759274277e-02,5.8476999100129157e-01
2.2578947368421054e+00,-1.4376181310148450e+00,6.3278177277067471e-01,2.1499571093939625e+00,2.4072457231480840e+01,3.0956507180086726e-04,1.3247118680526876e-03,7.7795596623646320e-03,3.9335771429348737e-01
2.2736842105263158e+00,-1.3891930760432445e+00,5.0337155233191244e-01,2.2595349128978639e+00,4.1551042414986021e+01,3.3985258972719587e-04,1.3007580783831441e-03,5.6108437356029665e-03,2.1571049608220863e-01
2.2894736842105261e+00,-1.3990898554277147e+00,6.0347872210385078e-01,1.8409917726728766e+00,1.8522471347238312e+01,5.5320128606926150e-04,2.0148788953113419e-03,8.7837466988337082e-03,4.4942020125578963e-01
2.3052631578947369e+00,-1.3582528717361169e+00,5.2854670845643681e-01,1.9213630485467070e+00,2.5591885197267121e+01,5.8811875378908063e-04,1.8739589383058926e-03,6.8314362199596995e-03,2.9767091003609919e-01
2.3210526315789473e+00,-1.3104567059501262e+00,3.8479157723405960e-01,1.6611679303751754e+00,3.1268853333112521e+01,7.6343405299868152e-04,2.4902681734017473e-03,9.4634085890681584e-03,2.4135213012211634e-01
2.3368421052631581e+00,-1.2972986477225334e+00,3.9145250642124441e-01,1.7649086835116987e+00,2.9661060047447091e+01,8.4062835713018236e-04,3.9978960676651954e-03,1.3811160401566779e-02,3.3471251201181162e-01
2.3526315789473684e+00,-1.2726177687799867e+00,3.6290168377604148e-01,1.5475139763829555e+00,2.5438477275496087e+01,8.6033209303536923e-04,4.2187644617834637e-03,1.0522990376713837e-02,2.8112007130371258e-01
2.3684210526315788e+00,-1.2457921362042297e+00,3.0372550912642032e-01,1.3759103963714454e+00,2.3119035870529441e+01,6.3688441226137542e-04,3.0351204930225578e-03,9.9136242844838247e-03,2.7191632265513721e-01
2.3842105263157896e+00,-1.2255908334517034e+00,2.7949886495028403e-01,1.2707499026747440e+00,2.0984476749574686e+01,5.4086734602305808e-04,2.8063622929351798e-03,9.0297255863623742e-03,2.3149893657562348e-01
2.3999999999999999e+00,-1.2063601419412879e+00,2.5343336318734233e-01,1.1840947129855421e+00,1.7964338117955471e+01,4.6043610729171126e-04,2.3920735949168456e-03,7.2627556820402724e-03,2.1347181002770385e-01
