L = 40 MC cycles = 10000 Repetitions = 100
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.1000000000000001e+00,-1.6609400144097217e+00,8.6783277569444461e-01,1.0423200418462306e+00,9.2260417190949784e-01,5.9614083213830007e-05,1.5012029525993925e-04,5.0617215051232357e-03,5.4236401378851752e-02
2.1137931034482760e+00,-1.6455408027777769e+00,8.5696349079861212e-01,1.2891624249317213e+00,1.6358186311934464e+00,1.9614862763896621e-04,6.7453813434705434e-04,1.6525828712702431e-02,3.2882896996452249e-01
2.1275862068965519e+00,-1.6318497357638899e+00,8.4863789071180573e-01,1.4939633900206446e+00,1.8872800037949742e+00,5.6075827095882920e-05,2.2663680286782108e-04,5.6831162921387136e-03,1.1946232906664200e-01
2.1413793103448278e+00,-1.6150105973958355e+00,8.3495866423611065e-01,1.7601900983058716e+00,3.5412159339803617e+00,7.2245948908712887e-05,2.0717787869411417e-04,5.6450302366460661e-03,8.0922162018536997e-02
2.1551724137931036e+00,-1.5989900873263887e+00,8.1938750295138907e-01,1.9564652787577632e+00,5.3284192510396293e+00,1.1068643558020937e-04,4.0898863299692766e-04,7.2778589065887328e-03,1.8301077566795415e-01
2.1689655172413795e+00,-1.5884200435763882e+00,8.2276651744791662e-01,1.5585468280419241e+00,2.5361354628901727e+00,2.5225686771269501e-04,9.7153254630044010e-04,1.3024611243663126e-02,3.4869479720197033e-01
2.1827586206896554e+00,-1.5657979208333330e+00,7.9751138333333327e-01,1.4131032350184194e+00,4.2369686494227929e+00,2.0181295522601824e-04,7.4253495573739156e-04,1.1442237183861307e-02,2.8930441169227594e-01
2.1965517241379313e+00,-1.5531328359375005e+00,7.8493449609374977e-01,1.8274657419988898e+00,5.9637612100984496e+00,1.5020415405539000e-04,6.9912344268946252e-04,1.1919451863322347e-02,3.6162597968008076e-01
2.2103448275862068e+00,-1.5393861980902779e+00,7.8579045104166712e-01,1.5381878860859712e+00,3.2089477251125111e+00,1.0903436627968125e-04,3.8374545403257467e-04,9.7524095534376812e-03,1.6752122395297805e-01
2.2241379310344827e+00,-1.5161294449652769e+00,7.4591871684027811e-01,1.8967209058092687e+00,1.4303911059338738e+01,1.6028744781108181e-04,4.9352187770390057e-04,9.4482598611766635e-03,1.3739499162126351e-01
2.2379310344827585e+00,-1.4863362333333334e+00,7.0699071788194456e-01,2.1915753845449197e+00,1.7466796032322055e+01,1.9904887793295724e-04,7.5703777962376150e-04,1.1918822541973895e-02,2.6748845713740732e-01
2.2517241379310344e+00,-1.4603835571180570e+00,6.7467784965277833e-01,1.8497752794198106e+00,2.1446614354758985e+01,2.9823360850326716e-04,1.2955492262280621e-03,1.1298187739240781e-02,3.5749560651247442e-01
2.2655172413793103e+00,-1.4096153102430560e+00,5.3590662118055576e-01,2.5506634263232626e+00,4.7941685748599909e+01,3.4088111276092648e-04,1.4211562559222066e-03,7.8125575051345621e-03,1.7966425129908373e-01
2.2793103448275862e+00,-1.4144406996527785e+00,6.2807466805555567e-01,1.9250362158670122e+00,1.8403905946410969e+01,4.3568208242489537e-04,1.9626495128308445e-03,1.0260748289340958e-02,4.4442223084544158e-01
2.2931034482758621e+00,-1.3875262274305555e+00,5.8941192187500047e-01,1.9753926720274271e+00,1.8040102772921088e+01,7.5621255181712295e-04,2.7516062538466735e-03,8.8895037058635811e-03,4.3574533092742690e-01
2.3068965517241380e+00,-1.3573882770833336e+00,5.2465772439236158e-01,1.9581582709954433e+00,2.6494969125632714e+01,6.6705720565390632e-04,3.0651863472672637e-03,8.1770798263242593e-03,5.7545199201856712e-01
2.3206896551724139e+00,-1.3142150095486118e+00,4.2384291458333334e-01,1.7796144840162440e+00,2.9779203371588601e+01,3.7090949990004659e-04,2.5765309039972820e-03,2.1130205169267662e-02,3.5518537200870237e-01
2.3344827586206898e+00,-1.2997798809027783e+00,4.1160687786458316e-01,1.6323752266171250e+00,2.6067267715788162e+01,7.8543047046880231e-04,3.4256024719472164e-03,1.6190046011558250e-02,3.6994213019222111e-01
2.3482758620689657e+00,-1.2779825815972221e+00,3.7725548758680555e-01,1.6496566593514210e+00,2.5505331387099979e+01,7.5523860313584041e-04,3.7322279225234763e-03,1.9518616383910201e-02,4.9520856468668439e-01
2.3620689655172415e+00,-1.2541750454861111e+00,3.2189944244791663e-01,1.4959531188038095e+00,2.4100354128351391e+01,7.5760392229569265e-04,3.5832228444028858e-03,2.1190621968450393e-02,2.7305946826908034e-01
2.3758620689655174e+00,-1.2350642887152774e+00,2.9490327291666663e-01,1.3578353345451979e+00,2.1769477512778831e+01,7.1009357519433494e-04,3.2211593256809617e-03,1.8498985788928717e-02,2.8355960079431142e-01
2.3896551724137929e+00,-1.2164184263888891e+00,2.7160429314236112e-01,1.2237906619842380e+00,1.9908545394760107e+01,7.0087053312561931e-04,2.8394873017406268e-03,1.5308570324687482e-02,2.4169299352087470e-01
2.4034482758620692e+00,-1.1999420291666667e+00,2.4630195729166673e-01,1.1696691102130232e+00,1.7333706922070807e+01,6.2982835964709610e-04,2.7201987755072401e-03,1.4779279908686030e-02,2.4357655421805419e-01
2.4172413793103447e+00,-1.1866481791666668e+00,2.3029290789930557e-01,1.0893116007067851e+00,1.5580100540285489e+01,5.0920428261767045e-04,2.2042042930068961e-03,1.4033728540036747e-02,2.4088074556867026e-01
2.4310344827586206e+00,-1.1710394565972222e+00,2.1140576414930556e-01,1.0546721346859698e+00,1.3743619871941927e+01,5.2113931088140493e-04,1.9699765952190624e-03,1.3767890752426079e-02,2.1612513038715067e-01
2.4448275862068964e+00,-1.1577729812499999e+00,2.0211107135416667e-01,1.0226690387624555e+00,1.2725116548353428e+01,6.1526731004258131e-04,1.9762022136299356e-03,1.3354127859533677e-02,2.1005466229343717e-01
2.4586206896551723e+00,-1.1452582376736111e+00,1.8988331684027776e-01,1.0149759518569388e+00,1.1652107233266870e+01,5.5159602268592292e-04,1.6395904877376127e-03,1.3447710025960204e-02,1.8736917439091499e-01
2.4724137931034482e+00,-1.1310119227430555e+00,1.7721051631944448e-01,9.4709350947704052e-01,1.0107144859071417e+01,4.9833451783407544e-04,1.6731346674602847e-03,1.1439214549038087e-02,1.6593893008633670e-01
2.4862068965517241e+00,-1.1196506939236111e+00,1.6888301553819443e-01,9.2720095060003838e-01,9.3267613138199437e+00,5.0833236826676020e-04,1.1707477527504195e-03,1.2499555570799599e-02,1.6394206028520811e-01
2.5000000000000000e+00,-1.1067067489583338e+00,1.6038752907986112e-01,8.9091593831100535e-01,8.4144644063014677e+00,4.0058778328107714e-04,1.4326492814003046e-03,1.0915245895604910e-02,1.5268159007135695e-01
