L = 100 MC cycles = 10000 Repetitions = 100
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.1000000000000001e+00,-1.6419076648222222e+00,7.0087661840666671e-01,2.0213903326965985e+00,1.0659560665037745e+02,2.4862725008556862e-03,2.5138239852616019e-02,9.9309362137001631e-02,1.4689825833621942e+01
2.1137931034482760e+00,-1.6294073022222215e+00,7.0662022221777787e-01,1.9731782881843907e+00,1.0083471744215232e+02,2.3747111986624882e-03,2.3639920345635699e-02,9.7490382400451214e-02,1.3265432873758339e+01
2.1275862068965519e+00,-1.6065204087333336e+00,6.3337456916000001e-01,2.3663421461693499e+00,1.5915512427884303e+02,2.5018724093266286e-03,2.4549210628689849e-02,1.0503792470029327e-01,1.6621334040515901e+01
2.1413793103448278e+00,-1.6018607498711110e+00,7.1706664160444433e-01,2.2206036226667991e+00,1.1884584063165903e+02,1.8718653063290723e-03,1.7699412025523290e-02,8.7975963061386636e-02,1.3354327671909227e+01
2.1551724137931036e+00,-1.5829207080977783e+00,6.7426149668000024e-01,2.1631262029845137e+00,1.3200712248907976e+02,2.2020085505432153e-03,2.0775604182446984e-02,8.8992887224923156e-02,1.5300957263495775e+01
2.1689655172413795e+00,-1.5689267548311117e+00,6.9911414084000001e-01,2.4244896678996191e+00,1.3242946136090393e+02,1.6931712949177706e-03,1.5990943753197189e-02,9.1842460602085035e-02,1.3941413717336378e+01
2.1827586206896554e+00,-1.5532249090888888e+00,6.7520201895111098e-01,2.7236045204715027e+00,1.4185725097268292e+02,1.9312282667258546e-03,1.6759151543664291e-02,1.0412707112242725e-01,1.4137981758937617e+01
2.1965517241379313e+00,-1.5328636490800001e+00,6.9331353402000018e-01,2.6999817413657401e+00,1.0839387322092372e+02,1.3305503875258491e-03,1.2301099402194090e-02,7.2897507128258390e-02,1.2301101042728003e+01
2.2103448275862068e+00,-1.5108327656666671e+00,6.5715890048000003e-01,2.5957624370152588e+00,1.1920997895073282e+02,1.5833219796497337e-03,1.3837227949066921e-02,8.1159551865691709e-02,1.2745320363442046e+01
2.2241379310344827e+00,-1.4932939202222217e+00,6.4477331234222224e-01,2.6398731791693226e+00,1.2372109948665062e+02,1.3778336217982676e-03,1.1791555474639222e-02,7.8595230006403657e-02,1.1807662524557227e+01
2.2379310344827585e+00,-1.4747849090533338e+00,6.3611893854444479e-01,2.5196454158995021e+00,1.0123486670844026e+02,1.3445375742266248e-03,1.1345697866003949e-02,7.0012062267937131e-02,1.0577364858664669e+01
2.2517241379310344e+00,-1.4502244537466664e+00,5.9004509161111107e-01,2.7016651095168567e+00,1.0705047297890219e+02,1.4798392572555590e-03,1.2089435791169501e-02,6.7123228612142899e-02,9.6205320823726428e+00
2.2655172413793103e+00,-1.4219121902222225e+00,5.3055096593777795e-01,2.8013450510413533e+00,1.1781090960734362e+02,1.6071973275635239e-03,1.3705512038475236e-02,6.0655821391148126e-02,9.3222406550703401e+00
2.2793103448275862e+00,-1.3877143063022224e+00,4.3444238045777778e-01,2.4975412890943458e+00,1.2795121965257778e+02,1.1929503829831956e-03,1.0666031091062126e-02,4.7285948592403274e-02,6.5976416379413978e+00
2.2931034482758621e+00,-1.3558173404399998e+00,3.3905694191333324e-01,2.1739671504103586e+00,1.0994121520564721e+02,8.8009300231862845e-04,9.0967603112840738e-03,4.4100215632996424e-02,4.7243551151431600e+00
