L = 60 MC cycles = 1000000 Repetitions = 1
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.1000000000000001e+00,-1.6609117104759081e+00,8.6827738602800364e-01,4.2749559287602699e+00,2.0093820477892748e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1137931034482760e+00,-1.6472080250003081e+00,8.5942649964779616e-01,4.6905742641952299e+00,3.2890338189289388e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1275862068965519e+00,-1.6326358420148552e+00,8.5048025510078018e-01,4.9816902454259493e+00,3.1586532490472825e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1413793103448278e+00,-1.6169582978039767e+00,8.4027582350869390e-01,5.2078596620592803e+00,4.0071564859550239e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1551724137931036e+00,-1.6019791102831245e+00,8.3000614487944779e-01,5.5983842184974089e+00,5.1683856452152961e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1689655172413795e+00,-1.5858579755681603e+00,8.1777588390860034e-01,5.7712752463151187e+00,6.3624629475781695e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1827586206896554e+00,-1.5680972438487879e+00,8.0408924248322444e-01,6.2884031040945816e+00,7.5805957927117644e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.1965517241379313e+00,-1.5500973881288664e+00,7.8980491062049740e-01,6.4110998591635786e+00,9.4661814996007720e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2103448275862068e+00,-1.5299705047640251e+00,7.6513275080636134e-01,7.4102071734507469e+00,2.3861129823186591e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2241379310344827e+00,-1.5096522352599526e+00,7.4592031367787515e-01,7.4997902466687894e+00,2.2234295242568738e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2379310344827585e+00,-1.4857404101632501e+00,7.1426029934255175e-01,8.5421586875244984e+00,3.3321991399755547e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2517241379310344e+00,-1.4572543759809193e+00,6.5829341100359573e-01,1.0078248332613665e+01,7.6848219126104382e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2655172413793103e+00,-1.4311583317885790e+00,6.2045710540787691e-01,1.0722736902860925e+01,8.2534988718202541e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2793103448275862e+00,-1.3977600900283009e+00,5.4810218613675465e-01,1.1839970300679820e+01,1.1771949142322086e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2931034482758621e+00,-1.3723804764641176e+00,4.9573460991856044e-01,1.1222537454177315e+01,1.2867939302101163e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3068965517241380e+00,-1.3406177047417789e+00,4.0827232973714478e-01,1.1035535506057656e+01,1.4219354255753879e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3206896551724139e+00,-1.3176256667160990e+00,3.6205118745288467e-01,9.9206589190682610e+00,1.3539735333249030e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3344827586206898e+00,-1.2895566183467431e+00,2.9321845425672588e-01,8.4692405698396680e+00,1.1240364860594117e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3482758620689657e+00,-1.2725936006994663e+00,2.5571444175657138e-01,8.1717500224781947e+00,1.0011193561086380e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3620689655172415e+00,-1.2525365133652164e+00,2.2780617083132493e-01,7.7817585927972361e+00,8.8219715939794781e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3758620689655174e+00,-1.2344457370951198e+00,2.0877498748748738e-01,7.0062079056010891e+00,6.9787141696350133e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3896551724137929e+00,-1.2178992804532938e+00,1.8312721579604282e-01,6.6654274217753358e+00,6.0574668905028474e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
