L = 60 MC cycles = 5000000 Repetitions = 1
T,e_avg,m_avg,Cv,chi,e_err,m_err,Cv_err,chi_err
2.2500000000000000e+00,-1.4627658994144477e+00,6.7626278311217602e-01,1.0075190631573399e+01,5.8141824755822569e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2553571428571431e+00,-1.4537474904240104e+00,6.6428124032213909e-01,9.9269767239099984e+00,5.9094222389365704e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2607142857142857e+00,-1.4426314616627018e+00,6.4418774563554637e-01,1.0616010956706273e+01,7.1261324987361576e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2660714285714287e+00,-1.4314100505903662e+00,6.2191799566703487e-01,1.0879930576874564e+01,8.2044718768144435e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2714285714285714e+00,-1.4189261383140841e+00,5.9484671369459130e-01,1.1601161391765086e+01,9.9476255639895740e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2767857142857144e+00,-1.4061378495452199e+00,5.6380437541211881e-01,1.1321992103124245e+01,1.1470145859419782e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2821428571428570e+00,-1.3972619990664819e+00,5.4810110333795159e-01,1.1137769536162830e+01,1.1645002917247255e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2875000000000001e+00,-1.3845440709746897e+00,5.1334791532380442e-01,1.1620940652573481e+01,1.3426136625422166e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2928571428571431e+00,-1.3720409512766738e+00,4.8504008483795552e-01,1.1048359900465648e+01,1.3720043619671358e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2982142857142858e+00,-1.3606365183530542e+00,4.5900997517404674e-01,1.1173819859186187e+01,1.4132850655246384e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3035714285714288e+00,-1.3480255441211690e+00,4.2424895639621774e-01,1.0683135697674006e+01,1.4507325211025619e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3089285714285714e+00,-1.3378745086671648e+00,4.0137458149037214e-01,1.0619941839541619e+01,1.4418637140194613e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3142857142857145e+00,-1.3280865623742042e+00,3.8089134607785757e-01,1.0141116063010154e+01,1.3793839337290473e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3196428571428571e+00,-1.3175987628389887e+00,3.5532356252114711e-01,1.0012848949463416e+01,1.3618256700362014e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.3250000000000002e+00,-1.3080200950683958e+00,3.3263444895769345e-01,9.5731179417876735e+00,1.2942239141890482e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
